text,target
"OH MY GODDDD. just lost the eBay bid to bowl with White Tie Affair, hit 160$ but was too slow, winner was $157, i would have won! FMLLLLL ",0
 on thursdays I do ,0
I really wish I could go to Disneyland this summer ,0
praying for sweet baby Stellan. ,0
i want smoothie king but i dont wanna go back out ,0
"I feel dumb that I'm annoyed with Shawn not texting me back, and it was just 1 text...not like I was being clingy ",0
I soo deserve this trip. This whole semester has been a run-a-round... I just wanna be sucessful ,0
Heading home!! Friggin' ring O death on those Xboxes! I was totally lookN 4ward to takN Gizell N Jdawg to skool on Rock Band!! ,0
"welp, calling it a day now.  we're all cleaned and closed up!  tomorrow, i'm on at 8AM though ",0
 why alone on an island ,0
 i know hehe but ugh 2hrs! just to be sure and now im sad &amp; tired cause its 3am  shout out to lucy please? xx,0
 what's lamp and why am I not on that list??? ,0
Thursday night and I'm here putting a paper to bed. Alone. ,0
i bet you can ride a 6ft uni-cycle and jump through rings of fire too.  i love/hate you  ,0
  bread dont want me to make the cupcakes tonight.. ,0
WOW I havent been on all day! I got my Dolce purse I wanted! SOO cute! Tomorrow is our last day on vaca then we drive back saturday ,0
 I'm upset about Max... real upset ,0
"is in the so-called &quot;Mani-Cave&quot;, recording away. Still in need of that hug, as well. ",0
 haha yes I have.. But they are scary. Why are you bummed ,0
On the way home alone  miss sleeping with my nello,0
i just like to do crazy things and it hasnt been too far out lately  hahaha i sound stupid,0
I expected to much out of this week and i got nothing much out of it.  fuck.,0
OH help me please to get rid of these security warning from my upgraded explore 8...I new I shouldn't have done it ,0
 Wish I could have gone to halfdome but it is such a busy weekend plus I am so out of shape.   hiking as well?,0
 Oh noes!  Don't hit the wall like Dale! ,0
dying inside ,0
Yup. Total sausage fest at the bar tonight. Old ugly sausage. ,0
Aw Danny! And angel ily that's the sweetest thing ever! u made me cry so hard    gonna miss u  like crazy!,0
 Kayla leaves tomorrow for NYC and I leave today and I wont get to say bye ,0
I am so unhappy that Ashley left  on SYTYCD ,0
"HELP ME! I'm lost, i'm nakie and i'm cold!  has misplaced me ",0
" No, nothing like that. But now those of us that use SF for things related to work will suffer. ",0
"i wish i could call you so we could fix everything..i am really sorry for putting you in such a bad mood, im so angry at my self  &lt;3",0
so upset with myself ,0
owwww  elbows are hard.,0
we leave tomorrow in anticipation for my husband's &quot;run&quot; up Mt. Washington. Poor guy will prob. walk lots b/c of bad tendonitis. ,0
Going all by myself to ATB's gig tomorrow at Pacha from Boston to NYC.No one wanted to go with me  Oh well.. Can't wait to see him though!,0
" No, it hasn't aged well at all. Bleh. Kitty litter and hairballs just aren't hilarious like they were when I was 12. ",0
 oh man!! Hope tom is better ,0
" I'm sorry love!  I'll hug you via twitter! I'm goin out with the gays tonight, wish you were here!!",0
 Yeah... ,0
 why couldn't you have a 5 hour layover about a month from now?  txting Shatner now,0
" Ugh, I do too. Its a bad one. I had to turn off all the lights and tv and lock myself in the bathroom for awhile ",0
 i feel really alone,0
  not anytime soon.. ,0
"tuna is bad without mayonnaise, sallad is bad without dressing...i hate this diet! ",0
 you heard me auburn? ,0
 Ashley was my favoriteeeee. plhh. And I loved Max too. fuck that.,0
 I'm lost... I haven't seen the movie yet... ,0
i don't feel good ,0
 NOOWAAAY ...  ... without me ?,0
In the shadows. Lurking in Willy B probably. Prove me wrong  http://mypict.me/4om1,0
 : seems the yahoo-based iCal's aren't bringing data into the iphone calendar ,0
"i have to study, but I'm way down ",0
probably dying my hair tonight. I want it to fade back to this color quick. and I need my bangs cut. my hairstylist Gretchen is leaving ,0
"im gonna carb myself im never out this late with the kiddos,,im sooo tired n joseph is acting like a crazy a@@ AFRICAN ZULU ",0
 totally agree ,0
Alone all weekend ,0
Eric i said hickups. I love you! Sorry. I'm in a crack head mood. It sucks when your friend is at work ,0
On the way the capitol! Missin the BF tho  **Mulatta Bonita**,0
" Nice, nice! I was working all day too  hope you enjoyed the, uh..... state capital? lol",0
i just saw a pizza commercial...now i REALLY want pizza ,0
ughh.   stress out.,0
Shameful news from Chile: seems like the morning after pill was definitely banned. Moralism ruling over science and people's need ,0
I am a cowgirl at heart though so I'd rather be riding horses or bulls. Used to have horses but my asshole dad took them in the divorce. ,0
Can't see out of both eyes right now ,0
 freeze many times piyo ,0
 nuffin more eckkky that i cant take beside being disrespect is :O being ignore...blahhhhhhh,0
"this sucks, all my friends are out of town and i've been bored all week. ",0
 total sadness that im not in the main room! total different continent its 3 in the morning and i never get there in time ,0
is in alot of pain rite now... ,0
has a really busy week and couldn't find time to go to yoga class ,0
really bummed that Max got voted off sytycd ,0
is waiting for surprise  http://plurk.com/p/1213mq,0
Is wanting some pasta...too bad hubby is working ,0
My internet isn't working anymore ,0
 aawww I miss u too!  ,0
im so tired and cold ,0
 http://twitpic.com/3gbo1 - I want this album!!! in my country .. do not sell the disks!   :'(,0
"Today was loooooooooooooooooong, and now all I want to do is James ",0
 It says the video is unavailable.  ,0
doesn't know how to mke  video ,0
 awgirlll whats wrongg ,0
craving currypuffs badly!! ,0
"I love my G1 phone, sorry iPhone  you still win for iPod and better battery life, but for everything else.... :/ even with yr new update..",0
Packing ,0
 I'm so mad!! I had to miss it!!  atleast it's on record at home,0
Internet access farked up. Can't load most pages and no images ,0
 i wish i could get away ,0
 im jealous. wish i was 18 so i could go too ,0
 http://twitpic.com/3gbo1 - I want this album!!! in my country .. do not sell the disks! ,0
Wishing I could find the guy that was walking with his twin puppies..i lost him bcuz he had to pick up his doggies poop! lol   i miss u!,0
 http://twitpic.com/3gbo1 - I want this album!!! in my country .. do not sell the disks! ,0
dear world: my feet hurt. ,0
" I just read it, wanna cry too ",0
"Ugh, I'm sweating balls. There's no AC on the second floor ",0
 sorry you didn't get any cupcakes and stuffs ,0
My handz0rz   http://twitpic.com/7rlak,0
my fish died... RIP Nitro and Julies ,0
 im jealous. wish i was 18 so i could go too  http://tinyurl.com/na2bsx,0
So annoyed ! Made myself nachos to find out we only had a lil bit if salsa left and NO sour cream nachos aren't the same without them ,0
 exacto! ,0
"Exams are DONE! Finally, totally screwed up the E-Business one though.. oh well.. ",0
" jk such an animated writer, accurate too,it was like that when I 1st went to foot. w my dad, in the end he stop. taking me ",0
Im back and i dont feel welcome. did i make the wrong decision?  please dont call me regarding this.,0
 i need to kick the diet soda habit too. Need the caffeine though and i really love the taste!   ,0
"Golfing in orlando in 95 degree weather, laying by the pool all day..this is the life! If only one person could be with me ",0
" why, are, you, ignoring meeee ",0
so so so so bored ,0
Finally going back to school after 10 yrs....and might have to cancel my trip because of it ,0
 http://twitpic.com/3gbo1 - PLEASEEEEEEEE IN PERU!! ,0
Jaw the ac us broke in our room so we have to move ,0
"ugh.. i hate traffic jam!! guys if u r headin 2 alauddin street, i suggest u 2 turn back ",0
http://twitpic.com/7rlbu - I am not a baker....me and my burnt cookies ,0
"I think my heart just broke into a million little pieces.  To know is one thing, but to hear it come from their mouth is another...",0
 lol. Sorry. ,0
 so i didn't win anything? ,0
Done Broadcasting for the night. ,0
"Um, one of my kittens just gobbled my acidopholous pill. I hope that is ok? Yikes. ",0
 lmaooo ; shuttupp ! i hate you ,0
I still can't believe it. ,0
"I just ate a Nectarine and my bottom lip is swollen now. Take those off the menu, I guess.  http://twitpic.com/7rlbi",0
I really want the theme of Skins for ringtones ,0
sytycd...sad  i wish ashely didn't go home!!!!!!!!,0
 The preview doesn't show the changes I made to the CSS  ,0
 They are brainwashed zombies that make the store scream aloud when some dumb kid goes from PC to Apple. They scare me ,0
 dang girl I cant get Kodiak's eyes to change ,0
"No Kenmore tonight: too late, too rainy, and work is too early tomorrow. ",0
 yikeroni! can understand that....sorry that happened  but sounds like you made the right choice!,0
Worst thing about being sick? The body aches... ,0
what should i do ,0
so  were on larry king and nick pretty much admit to dating   i think id be better for him  tehehe,0
hungry.... hubs won't take me to mcdonalds. ,0
" aww, if its as sad as the pursuit of happyness i probablyyy will ",0
was supposed to go out in an abandoned parking lot and practice but we got/had unexpected company ,0
" I'll make a FB one tonight too and send you the details, send it to all.. Can't go to thing, swamped in French homework---uggh!! ",0
 I had my 2nd Gardasil shot. ,0
 have you talked to Kristie today? My phone isn't working and I can't get a hold of her online ,0
"  sorry. But it's not my fault, I don't know English... LOL",0
... i feel the same way about your heath post ,0
I miss my family. I never spend time with them anymore ,0
looks like i'm too late on the jc chiffon trim sweater. am sad about this ,0
 what did they do? ,0
Bored to hell &amp; can't sleep ,0
 so sad!  I'll have to chat with you later!,0
: Wallowing in self-pity...I hate being sick! ,0
Some girls should not wear the high waist.  at all!,0
 Rugby Museum was a disaster. Frustrated wheelchair user arrived 2:03pm &amp; couldnt line up for foot race. Excluded from it ,0
 noooooooooo u said u was at the mall..i was waitin on u ,0
 I don't think the right guy went home. I think Max has been great and a more complete dancer. ,0
heartbroken / confused / pissed off. ,0
" but you can't do it with frosted flakes, its too sticky  and ants will be parading my room lmao",0
This steak is not juicy; no A1 to make things better ,0
has a lot of severe pain going on and only has one far away fix. ,0
 guess we don't have to deal w/it any time soon... rain delay ,0
I was attacked by what appeared to be a flying ant today. Bit me on the back of my neck. It's dead now. But the sting still hurts. ,0
Ahh Mr. Murphy... You gave me a computer needing lots of apps to install with a badly mounted heat sink ,0
what a bad day ,0
nooo sol is getting dirty ,0
", I don't think I can grab lunch tomorrow  Sorry! We're having this brown bag lunch talk with an artist, and I have to go.",0
 Nice to be connected to you on Twitter. We're going to be wine trailing in Iowa over 4th July. Can only make it to the NE. ,0
 i guess not ,0
"ugh, my macbook battery wont last through my class  27 more minutes!",0
 me too but now i have work ,0
Ugh it just got depressing... I miss my ferret and I wish she would have been nicer ,0
OMG. Spilled a nice amount of Blackberry Bliss smoothie in my messenger bag. Washing my precious custom Timbuk2 for the first time ,0
"Wrong guy got sent home on  tonight. Agree with the girl, but not the guy. ",0
At Uncles's funeral ,0
 im sorry!!  my mother can be retarded sometimes...,0
 oh no  I hope you're safe xx,0
 I wish! ,0
I so want to go home - I am really feeling Friday today  - I am sick of carting my stick everywhere ,0
has the hardest decision to make... EVER!! ,0
"Oh shit, I just realized  is gone. His updates cracked me up. ",0
throats hurting  bedtime..,0
Valencia / magic mountain... still over 300 to go ,0
awww rob and kristen are super cute... but theyre on separate coasts  http://bit.ly/yeP8u,0
 I wan chinese too!! ,0
 Or you were severely over worked. ,0
i messed up my own plan by spending an hour read kimi ga suki ,0
Holly Crap...Im leaving for Hawaii and Now China wants to launch missiles at Hawaii  YICKS!!!,0
I'm bored and bobo is still really cranky.  Almost bed time for him and Bree...,0
and ill prob have 2 miss out next week 2 but hopefully not i miss not surfing.. ,0
"thinks $43.50 is too much to see Kings of Leon live, but will pay the price anyway ",0
My brain hurts so bad right now. The universe is so weird. ,0
 I can't bite anymore for an hour  ,0
"    Girls have FUUUUN in Vegas! Couldn't make it, so so so sorry  Make it count!",0
BOOO on SYTYCD. BOOOO. ,0
never knew how difficult it would be to get a cell phone that works. It's almost a full-time (unpaid) job getting a decent replacement. ,0
i just realized that i have a serious anger problem. who knows the number to a good anger management class? ,0
Chicken noodle soup and orange juice... my 2 least favorite things have now become my favorites! Still crazy sick  ugh,0
  u misssed both the krave event went verrry well!,0
 I ordered my iPhone 3GS but its on backorder at the att store so I won't get it til like monday ,0
You know what i hate? When you are marathon comic reading only to find out that part 2 of a story is in a comic you dont get  ,0
Oh and...why hasent she called me  ha knowing her ass she's probley sleep,0
 you wait; I'll see.  I'm surfing the web; sifting through threads.  Wish I read Farsi though   ,0
" going to give any chance to be your official fan club in your page, I want to be a .... ",0
Leave in 4 hours ,0
 miss you guys ,0
 yeah i wish  she's acting like she forgot about it and i dont wanna bring it up again,0
I just got a message on facebook that the vocal camp I went to only has 33 campers for this year. ,0
  I feel ya on that one. I'm trying for a lost cause practically.,0
 i feel just like my car inside banged up and sad   maybe its meant for  me to get a new can i borrow some cash ..anyone? anyone?,0
 I know  I totally hogged yours too lol,0
gonna go lay down and try to sleep. gotta get up at 6:30  blahh! goodnight all my tweethearts!!! tweet dreams xoxoxo,0
 Im not getting my keys today  ... W&amp;G night will have to be postponed!,0
 when does Aaron leave again? sorry... I forgot.. ,0
" Oh, come on, I'll split it with you, if I win!!!  Ok, never mind, like you say, cheaters never win.... ",0
