sourceLanguage,targetLanguage,documentID,stringID,sourceText,translatedText,perceivedGender,entityName,sourceURL
en,de,1,1-1,"Kaisa-Leena Mäkäräinen (born 11 January 1983) is a Finnish former world-champion and 3-time world-cup-winning biathlete, who currently competes for Kontiolahden Urheilijat.","Kaisa-Leena Mäkäräinen (geboren am 11. Januar 1983) ist eine ehemalige Weltmeisterin und 3-malige Weltcup-Siegerin im Biathlon aus Finnland, die derzeit für Kontiolahden Urheilijat antritt.",Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,de,1,1-2,"Outside sports, Mäkäräinen is currently studying to be a Physics teacher at the University of Eastern Finland in Joensuu.",Neben dem Sport studiert Mäkäräinen derzeit Physik auf Lehramt an der Universität Ostfinnland in Joensuu.,Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,de,1,1-3,"Her team coach is Jonne Kähkönen, while Jarmo Punkkinen is her ski coach.","Ihr Mannschaftstrainer ist Jonne Kähkönen, Jarmo Punkkinen ist ihr Skitrainer.",Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,de,1,1-4,Mäkäräinen was originally a cross-country skier and focused on this until the age of twenty.,Mäkäräinen war ursprünglich Langläuferin und konzentrierte sich darauf bis zum Alter von zwanzig Jahren.,Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,de,1,1-5,She started training for the biathlon in 2003.,Mit dem Biathlontraining begann sie 2003.,Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,de,1,1-6,"In 2004, she made the Finnish National Team.",2004 schaffte sie es in die finnische Nationalmannschaft.,Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,de,1,1-7,2005 saw Mäkäräinen compete at the Biathlon World Championships for the first time.,2005 trat Mäkäräinen erstmals bei den Biathlon-Weltmeisterschaften an.,Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,de,1,1-8,"Her best placings in the Biathlon World Championships have occurred at the 2007 World Championships in Antholz-Anterselva, where she placed eighth in the individual 15  and seventh in the mass start events.","Ihre besten Platzierungen bei den Biathlon-Weltmeisterschaften erreichte sie bei den Weltmeisterschaften 2007 in Antholz-Anterselva, wo sie beim 15er-Einzelrennen Achte und bei den Massenstart-Veranstaltungen Siebte wurde.",Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,de,1,1-9,"At the 2008 Biathlon World Championships in Östersund, she was 15th in the mass start.",Bei den Biathlon-Weltmeisterschaften 2008 in Östersund wurde sie 15. im Massenstart.,Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,de,1,1-10,"During the 2007-08 Biathlon World Cup, she made it to the podium twice, the first time when she placed second in the sprint at Pokljuka, Slovenia and third in the pursuit at Ruhpolding, Germany.","Im Biathlon-Weltcup 2007–08 schaffte sie es zweimal auf das Podium; das erste Mal, als sie im Sprint in Pokljuka, Slowenien, Zweite wurde, und als Dritte in der Verfolgung in Ruhpolding, Deutschland.",Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,de,1,1-11,"During the 2008–09 Biathlon World Cup, she has steadily risen in the rankings and on she placed second during the pursuit event and third in the mass start after Iourieva and Jonsson at Antholz.",Im Biathlon-Weltcup 2008–09 ist sie in der Rangliste stetig nach oben geklettert und wurde Zweite in der Disziplin Verfolgung sowie nach Iourieva und Jonsson Dritte im Massenstart in Antholz.,Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,de,1,1-12,Her best season so far has been the 2010-11 Biathlon World Cup.,Ihre bisher beste Saison war der Biathlon-Weltcup 2010–11.,Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,de,2,2-1,Jorien ter Mors (born 21 December 1989) is a Dutch speed skater on both short track and long track.,Jorien ter Mors (geboren am 21. Dezember 1989) ist eine niederländische Kurzstrecken- und Langstrecken-Eisschnellläuferin.,Female,Jorien ter Mors,https://en.wikipedia.org/wiki/Jorien_ter_Mors
