sourceLanguage,targetLanguage,documentID,stringID,sourceText,translatedText,perceivedGender,entityName,sourceURL
en,es,1,1-1,"Kaisa-Leena Mäkäräinen (born 11 January 1983) is a Finnish former world-champion and 3-time world-cup-winning biathlete, who currently competes for Kontiolahden Urheilijat.","Kaisa-Leena Mäkäräinen (nacida el 11 de enero de 1983) es excampeona mundial finlandesa, tres veces ganadora de la copa mundial de biatlón y actualmente compite para el Kontiolahden Urkeilijat.",Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,es,1,1-2,"Outside sports, Mäkäräinen is currently studying to be a Physics teacher at the University of Eastern Finland in Joensuu.","Además de los deportes, estudia actualmente en la Universidad de Finlandia Oriental en Joensuu para ser profesora de física.",Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,es,1,1-3,"Her team coach is Jonne Kähkönen, while Jarmo Punkkinen is her ski coach.","El entrenador de su equipo es Jonne Kähkönen, mientras que Jarmo Punkkinen es su entrenador de esquí.",Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,es,1,1-4,Mäkäräinen was originally a cross-country skier and focused on this until the age of twenty.,"Mäkäräinen era originalmente esquiadora de campo traviesa, a lo que se dedicó hasta la edad de 20 años.",Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,es,1,1-5,She started training for the biathlon in 2003.,Comenzó a entrenar para el biatlón en 2003.,Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,es,1,1-6,"In 2004, she made the Finnish National Team.",En 2004 fue parte del equipo nacional finlandés.,Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,es,1,1-7,2005 saw Mäkäräinen compete at the Biathlon World Championships for the first time.,En 2005 compitió por primera vez en el Campeonato Mundial de Biatlón.,Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,es,1,1-8,"Her best placings in the Biathlon World Championships have occurred at the 2007 World Championships in Antholz-Anterselva, where she placed eighth in the individual 15  and seventh in the mass start events.","Su mejor clasificación en el Campeonato Mundial de Biatlón se produjo en 2007 en Antholtz-Anterselva, donde quedó octava en la prueba individual 15, y séptima en la competencia de salida en masa.",Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,es,1,1-9,"At the 2008 Biathlon World Championships in Östersund, she was 15th in the mass start.",En el Campeonato Mundial de Biatlón de 2008 en Östersund quedó en el puesto 15 en la salida en masa.,Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,es,1,1-10,"During the 2007-08 Biathlon World Cup, she made it to the podium twice, the first time when she placed second in the sprint at Pokljuka, Slovenia and third in the pursuit at Ruhpolding, Germany.","Durante la Copa Mundial de Biatlón 2007/2008 logró subir al podio en dos ocasiones, la primera de ellas cuando obtuvo el segundo lugar en el sprint de Pokljuka, Eslovenia, y el tercero en la competencia de persecución en Ruhpolding, Alemania.",Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,es,1,1-11,"During the 2008–09 Biathlon World Cup, she has steadily risen in the rankings and on she placed second during the pursuit event and third in the mass start after Iourieva and Jonsson at Antholz.","Durante la Copa Mundial de Biatlón 2008-2009, escaló de forma sostenida en la clasificación y, a partir de entonces, se situó en segundo lugar durante la prueba de persecución y tercera en la salida en masa, después de Lourieva y Jonsson en Antholz.",Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,es,1,1-12,Her best season so far has been the 2010-11 Biathlon World Cup.,Su mejor temporada hasta ahora ha sido la Copa Mundial de Biatlón 2010-2011.,Female,Kaisa Mäkäräinen,https://en.wikipedia.org/wiki/Kaisa_M%C3%A4k%C3%A4r%C3%A4inen
en,es,2,2-1,Jorien ter Mors (born 21 December 1989) is a Dutch speed skater on both short track and long track.,Jorien ter Mors (nacida el 21 de diciembre de 1989) es una patinadora de velocidad sobre hielo holandesa tanto en pista corta como en pista larga.,Female,Jorien ter Mors,https://en.wikipedia.org/wiki/Jorien_ter_Mors
en,es,2,2-2,She was the Olympic champion in the 1500 metres and team pursuit (long track) at the 2014 Winter Olympics and the 1000 metres at the 2018 Winter Olympics.,Fue campeona olímpica en los 1 500 metros y en persecución por equipos (pista larga) en los Juegos Olímpicos de Invierno de 2014 y en los 1 000 metros en 2018.,Female,Jorien ter Mors,https://en.wikipedia.org/wiki/Jorien_ter_Mors
en,es,2,2-3,Ter Mors competed at the 2010 Winter Olympics for the Netherlands.,Compitió en los Juegos Olímpicos de Invierno de 2010 en representación de los Países Bajos.,Female,Jorien ter Mors,https://en.wikipedia.org/wiki/Jorien_ter_Mors
en,es,2,2-4,"She placed third in her round one race of the 500 metres and was disqualified in the opening round of the 1000 metres, failing to advance.","Quedó tercera en su primera ronda de los 500 metros y fue descalificada en la ronda de apertura de los 1 000 metros, no pudiendo avanzar.",Female,Jorien ter Mors,https://en.wikipedia.org/wiki/Jorien_ter_Mors
en,es,2,2-5,"She was also a member of the Dutch 3000 metre relay team, which finished third in the semifinals and won the B Final, ending up fourth overall.","También fue integrante del equipo holandés de relevos de 3 000 metros, que terminó tercero en las semifinales y ganó la Final B, pero quedó cuarto en general.",Female,Jorien ter Mors,https://en.wikipedia.org/wiki/Jorien_ter_Mors
en,es,2,2-6,"Her best overall individual finish, is 23rd, in the 500 metres.",Su mejor resultado individual general ha sido el puesto 23 en los 500 metros.,Female,Jorien ter Mors,https://en.wikipedia.org/wiki/Jorien_ter_Mors
en,es,2,2-7,"As of 2013, ter Mors has won two silver medals at the World Championships; the first came in 2011, as a member of the Dutch relay team, and the second in 2013 in the 1000 metres.","Para 2013, ter Mors había ganado dos medallas de plata en el Campeonato Mundial; la primera la logró en 2011 como integrante del equipo de relevos holandés y la segunda en 2013 en la competencia de los 1 000 metros.",Female,Jorien ter Mors,https://en.wikipedia.org/wiki/Jorien_ter_Mors
en,es,2,2-8,"She has also won three gold medals as a member of the Dutch relay team at the European Championships.As of 2013, ter Mors has one ISU Short Track Speed Skating World Cup victory, coming as part of the Dutch relay team in 2012–13 at Dresden.","También había ganado tres medallas de oro como integrante del equipo holandés de relevos en el Campeonato Europeo. Para 2013 obtuvo una victoria en la Copa Mundial de Patinaje de Velocidad en pista corta de la ISU, como parte del equipo holandés de relevos en 2012-2013 en la ciudad de Dresde.",Female,Jorien ter Mors,https://en.wikipedia.org/wiki/Jorien_ter_Mors
en,es,2,2-9,She also has four other podium finishes.,También logró otros cuatro podios.,Female,Jorien ter Mors,https://en.wikipedia.org/wiki/Jorien_ter_Mors
en,es,2,2-10,"Her top World Cup ranking is 7th, in the 1500 metres in 2013–14.","Su mejor clasificación lograda en la Copa Mundial ha sido el puesto 7, obtenido en los 1 500 metros, en 2013-2014.",Female,Jorien ter Mors,https://en.wikipedia.org/wiki/Jorien_ter_Mors
en,es,3,3-1,"Wassana Winatho (Thai: วาสนา วินาโท; born 30 June 1980, in Prachinburi), also known as Amornrat Winatho and Vassanee Vinatho, is a Thai track and field athlete who specialises in the heptathlon and the 400 metres hurdles.","Wassana Winatho (en tailandés, วาสนา วินาโท; nacida en Prachinburi el 30 de junio de 1980), también conocida como Amornrat Winatho y Vassanee Vinatho, es una atleta de atletismo liviano especializada en heptatlón y en carreras de 400 metros con vallas.",Female,Wassana Winatho,https://en.wikipedia.org/wiki/Wassana_Winatho
en,es,3,3-2,She represented Thailand at the 2008 Summer Olympics and competed at five consecutive editions of the Asian Games (1998 to 2014).,Representó a Tailandia en los Juegos Olímpicos de Verano de 2008 y compitió en cinco ediciones consecutivas de los Juegos Asiáticos (1998 a 2014).,Female,Wassana Winatho,https://en.wikipedia.org/wiki/Wassana_Winatho
en,es,3,3-3,"Having won medals internationally in combined events, sprints, hurdles and relays, she is widely regarded as the most versatile athlete in Southeast Asia.","Habiendo ganado medallas a nivel internacional en pruebas combinadas, sprints, carreras con vayas y con relevos, es considerada la atleta más versátil del sudeste de Asia.",Female,Wassana Winatho,https://en.wikipedia.org/wiki/Wassana_Winatho
en,es,3,3-4,"She is the current Thai record holder in the heptathlon and women's pentathlon, as well as having a share in the 4×400 metres relay record.","Actualmente, posee el récord tailandés en heptatlón y en pentatlón femenino, además de compartir el récord en la modalidad 4x400 metros con relevos.",Female,Wassana Winatho,https://en.wikipedia.org/wiki/Wassana_Winatho
en,es,3,3-5,"Winatho has been particularly successful at the Southeast Asian Games, where her achievement include three heptathlon titles, three 400 m hurdles title, and a haul of three golds at the 2007 Games (with a heptathlon Games record of 5889 points).","Winatho ha tenido un éxito especial en los juegos de Asia sudoriental, en los que sus logros incluyen tres títulos de heptatlón, tres de 400 m con vallas y un haber de tres medallas de oro en los juegos de 2007 (con un récord en los juegos de heptatlón de 5889 puntos).",Female,Wassana Winatho,https://en.wikipedia.org/wiki/Wassana_Winatho
en,es,3,3-6,"At the continental level, she has won pentathlon medals at the Asian Indoor Games and the Asian Indoor Athletics Championships.",En el continente ha ganado medallas de pentatlón en los Juegos Asiáticos Bajo Techo y en el Campeonato Asiático de Atletismo Bajo Techo.,Female,Wassana Winatho,https://en.wikipedia.org/wiki/Wassana_Winatho
en,es,3,3-7,"Winatho won her first junior medals at the Asian Junior Athletics Championships, twice finishing as runner-up to Irina Naumenko in 1997 and 1999 in the heptathlon.","Ganó sus primeras medallas junior en los Campeonatos Asiáticos de Atletismo Juvenil y quedó dos veces subcampeona de heptatlón detrás de Irina Naumenko, en 1997 y en 1999.",Female,Wassana Winatho,https://en.wikipedia.org/wiki/Wassana_Winatho
en,es,3,3-8,"She made her senior debut at the 1998 Asian Games and she narrowly missed out on a medal, scoring 5630 points for fourth place.","Hizo su debut en la categoría superior en los Juegos Asiáticos de 1998, cuando casi gana una medalla al quedar en el cuarto lugar con 5630 puntos.",Female,Wassana Winatho,https://en.wikipedia.org/wiki/Wassana_Winatho
en,es,4,4-1,"Ayşe Tekdal (born 28 October 1999) is a Turkish female race walker specialising in the 5000 m, 10,000 m and 20 km events.","Ayşe Tekdal (nacida el 28 de octubre de 1999) es una atleta turca de marcha atlética, especializada en las pruebas de 5 000 m y 10 000 m, y de 20 km.",Female,Ayşe Tekdal,https://en.wikipedia.org/wiki/Ay%C5%9Fe_Tekdal
en,es,4,4-2,"She is a native of Diyarbakır, southeastern Turkey.","Es oriunda de Diyarbakir, una región al sudeste de Turquía.",Female,Ayşe Tekdal,https://en.wikipedia.org/wiki/Ay%C5%9Fe_Tekdal
en,es,4,4-3,She competes for Kayapınar Belediyespor in her hometown.,Compite para el Kayapınar Belediyespor en su ciudad natal.,Female,Ayşe Tekdal,https://en.wikipedia.org/wiki/Ay%C5%9Fe_Tekdal
en,es,4,4-4,"Tekdal won the silver nedal in the 5,000 m event at the 2016 European Athletics Youth Championships held in Tbilisi, Georgia with a personal best time of 22:58.17 behind her countrywoman Meryem Bekmez.","Tekdal ganó la medalla de plata en la prueba de los 5 000 m del Campeonato Europeo Juvenil de Atletismo de 2016 que se celebró en Tiflis, Georgia, con una marca personal de 22:58.17, apenas detrás de su compatriota Meryem Bekmez.",Female,Ayşe Tekdal,https://en.wikipedia.org/wiki/Ay%C5%9Fe_Tekdal
